,Date,US dollar
227,2021-11-16,1859.2
228,2021-11-17,1864.9
229,2021-11-18,1860.3
230,2021-11-19,1861.1
231,2021-11-22,1816.05
232,2021-11-23,1789.15
233,2021-11-24,1782.05
234,2021-11-25,1788.15
235,2021-11-26,1800.8
236,2021-11-29,1785.95
237,2021-11-30,1804.4
238,2021-12-01,1789.25
239,2021-12-02,1765.0
240,2021-12-03,1767.55
241,2021-12-06,1778.65
242,2021-12-07,1781.35
243,2021-12-08,1783.8
244,2021-12-09,1776.15
245,2021-12-10,1779.75
246,2021-12-13,1787.8
247,2021-12-14,1776.9
248,2021-12-15,1768.65
249,2021-12-16,1795.7
250,2021-12-17,1807.7
251,2021-12-20,1796.3
252,2021-12-21,1793.75
253,2021-12-22,1792.8
254,2021-12-23,1805.2
255,2021-12-24,1805.2
256,2021-12-27,1805.2
257,2021-12-28,1805.2
258,2021-12-29,1794.25
259,2021-12-30,1805.85
260,2021-12-31,1805.85
