,Date,Close
0,2021-01-01,29374.152344
1,2021-01-02,32127.267578
2,2021-01-03,32782.023438
3,2021-01-04,31971.914063
4,2021-01-05,33992.429688
5,2021-01-06,36824.363281
6,2021-01-07,39371.042969
7,2021-01-08,40797.609375
8,2021-01-09,40254.546875
9,2021-01-10,38356.441406
10,2021-01-11,35566.65625
11,2021-01-12,33922.960938
12,2021-01-13,37316.359375
13,2021-01-14,39187.328125
14,2021-01-15,36825.367188
15,2021-01-16,36178.140625
16,2021-01-17,35791.277344
17,2021-01-18,36630.074219
18,2021-01-19,36069.804688
19,2021-01-20,35547.75
20,2021-01-21,30825.699219
21,2021-01-22,33005.761719
22,2021-01-23,32067.642578
23,2021-01-24,32289.378906
24,2021-01-25,32366.392578
25,2021-01-26,32569.849609
26,2021-01-27,30432.546875
27,2021-01-28,33466.097656
28,2021-01-29,34316.386719
29,2021-01-30,34269.523438
30,2021-01-31,33114.359375
31,2021-02-01,33537.175781
32,2021-02-02,35510.289063
33,2021-02-03,37472.089844
34,2021-02-04,36926.066406
35,2021-02-05,38144.308594
36,2021-02-06,39266.011719
37,2021-02-07,38903.441406
38,2021-02-08,46196.464844
39,2021-02-09,46481.105469
40,2021-02-10,44918.183594
41,2021-02-11,47909.332031
42,2021-02-12,47504.851563
43,2021-02-13,47105.515625
44,2021-02-14,48717.289063
45,2021-02-15,47945.058594
46,2021-02-16,49199.871094
47,2021-02-17,52149.007813
48,2021-02-18,51679.796875
49,2021-02-19,55888.132813
50,2021-02-20,56099.519531
51,2021-02-21,57539.945313
52,2021-02-22,54207.320313
53,2021-02-23,48824.425781
54,2021-02-24,49705.332031
55,2021-02-25,47093.851563
56,2021-02-26,46339.761719
57,2021-02-27,46188.453125
58,2021-02-28,45137.769531
59,2021-03-01,49631.242188
60,2021-03-02,48378.988281
61,2021-03-03,50538.242188
62,2021-03-04,48561.167969
63,2021-03-05,48927.304688
64,2021-03-06,48912.382813
65,2021-03-07,51206.691406
66,2021-03-08,52246.523438
67,2021-03-09,54824.117188
68,2021-03-10,56008.550781
69,2021-03-11,57805.121094
70,2021-03-12,57332.089844
71,2021-03-13,61243.085938
72,2021-03-14,59302.316406
73,2021-03-15,55907.199219
74,2021-03-16,56804.902344
75,2021-03-17,58870.894531
76,2021-03-18,57858.921875
77,2021-03-19,58346.652344
78,2021-03-20,58313.644531
79,2021-03-21,57523.421875
80,2021-03-22,54529.144531
81,2021-03-23,54738.945313
82,2021-03-24,52774.265625
83,2021-03-25,51704.160156
84,2021-03-26,55137.3125
85,2021-03-27,55973.511719
86,2021-03-28,55950.746094
87,2021-03-29,57750.199219
88,2021-03-30,58917.691406
89,2021-03-31,58918.832031
90,2021-04-01,59095.808594
91,2021-04-02,59384.3125
92,2021-04-03,57603.890625
93,2021-04-04,58758.554688
94,2021-04-05,59057.878906
95,2021-04-06,58192.359375
96,2021-04-07,56048.9375
97,2021-04-08,58323.953125
98,2021-04-09,58245.003906
99,2021-04-10,59793.234375
100,2021-04-11,60204.964844
101,2021-04-12,59893.453125
102,2021-04-13,63503.457031
103,2021-04-14,63109.695313
104,2021-04-15,63314.011719
105,2021-04-16,61572.789063
106,2021-04-17,60683.820313
107,2021-04-18,56216.183594
108,2021-04-19,55724.265625
109,2021-04-20,56473.03125
110,2021-04-21,53906.089844
111,2021-04-22,51762.273438
112,2021-04-23,51093.652344
113,2021-04-24,50050.867188
114,2021-04-25,49004.253906
115,2021-04-26,54021.753906
116,2021-04-27,55033.117188
117,2021-04-28,54824.703125
118,2021-04-29,53555.109375
119,2021-04-30,57750.175781
120,2021-05-01,57828.050781
121,2021-05-02,56631.078125
122,2021-05-03,57200.292969
123,2021-05-04,53333.539063
124,2021-05-05,57424.007813
125,2021-05-06,56396.515625
126,2021-05-07,57356.402344
