,Date,PriceOil
50,21/10/2021,"82,50"
49,22/10/2021,"83,76"
48,25/10/2021,"83,76"
47,26/10/2021,"84,65"
46,27/10/2021,"82,66"
45,28/10/2021,"82,81"
44,29/10/2021,"83,57"
43,01/11/2021,"84,05"
42,02/11/2021,"83,91"
41,03/11/2021,"80,86"
40,04/11/2021,"78,81"
39,05/11/2021,"81,27"
38,08/11/2021,"81,93"
37,09/11/2021,"84,15"
36,10/11/2021,"81,34"
35,11/11/2021,"81,59"
34,12/11/2021,"80,79"
33,15/11/2021,"80,88"
32,16/11/2021,"80,76"
31,17/11/2021,"78,36"
30,18/11/2021,"79,01"
29,19/11/2021,"76,10"
28,22/11/2021,"76,75"
27,23/11/2021,"78,50"
26,24/11/2021,"78,39"
25,25/11/2021,"77,41"
24,26/11/2021,"68,15"
23,29/11/2021,"69,95"
22,30/11/2021,"66,18"
21,01/12/2021,"65,57"
20,02/12/2021,"66,50"
19,03/12/2021,"66,26"
18,06/12/2021,"69,49"
17,07/12/2021,"72,05"
16,08/12/2021,"72,36"
15,09/12/2021,"70,94"
14,10/12/2021,"71,67"
13,13/12/2021,"71,29"
12,14/12/2021,"70,73"
11,15/12/2021,"70,87"
10,16/12/2021,"72,38"
9,17/12/2021,"70,86"
8,20/12/2021,"68,23"
7,21/12/2021,"71,12"
6,22/12/2021,"72,76"
5,23/12/2021,"73,79"
4,27/12/2021,"75,57"
3,28/12/2021,"75,98"
2,29/12/2021,"76,56"
1,30/12/2021,"76,99"
0,31/12/2021,"75,21"
